"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"7726","Rensselaer Polytechnic Institute (RPI)","Computer Science",22500,0.99,"2018-2019","2nd",NA,"$22,500",NA,NA,NA,"computer science"
"7727","Brown University","Modern Culture and Media",30000,1.32,"2018-2019","5th",NA,"$25,000","$5,000",NA,"My stipend was about $24k when I first entered in 2014, but the university gave a blanket raise (up to $30k max) during our recent unionization effort (we won :) ). It was also during our unionization effort we finally achieved summer funding, which, while still much less than we get per month during the academic year, is higher than the ~$800 per month I received the first few years.","film and media"
"7728","University of Illinois - Urbana- Champaign (UIUC)","Linguistics",25000,1.14,"2019-2020","1st",NA,"$25,000",NA,NA,"Illinois Distinguished Fellowship. 25k for each of 3 years, guaranteed TA/RA for other 2-3 years. Tuition waiver, partial health insurance","linguistics"
"7729","University of Texas - Austin (UT)","Government",30000,1.31,"2019-2020","1st",NA,"$27,000","$3,000",NA,"$27,000 is composed of a fellowship + TAing. $3000 summer funding is from a RAship.","government"
"7730","Columbia University (CU)","Neurobiology",40700,1.37,"2019-2020","1st","$40,700",NA,NA,NA,NA,"biology"
"7731","Massachusetts Institute of Technology (MIT)","Oceanography",38144,1.37,"2018-2019","1st","$38,144",NA,NA,NA,NA,"marine sciences"
"7732","Drexel University (DU)","Biodiversity, Earth, and Environmmetal Sciences",25500,1.06,"2018-2019","3rd","$25,500",NA,NA,NA,"This is my RA stipend (advisor has NSF grant). However, I can be switched any quarter (Drexel on quarter system) to TA, with a lower yearly stipend of $23,500. This was a recent increase from $21,000.","earth science"
"7733","Drexel University (DU)","Environmental science",24000,1,"2018-2019","4th","$24,000",NA,NA,NA,NA,"environment"
"7734","Purdue University - West Lafayette","Chemical Engineering",28500,1.35,"2018-2019","1st","$31,000",NA,NA,"$2,500","$500 one-time moving stipend","chemistry"
"7735","University of Michigan - Ann Arbor (UM)","Chemical Engineering",32200,1.4,"2019-2020","1st","$32,200",NA,NA,NA,"Medical Covered","chemistry"
"7736","University of California - Berkeley","Environmental science",32500,1.17,"2019-2020","1st","$32,500",NA,NA,NA,NA,"environment"
"7737","Yale University (YU)","Political Science",30000,1.21,"2018-2019","5th","$30,000",NA,NA,NA,NA,"political science"
"7738","University of Colorado - Boulder (UCB)","Chemical and Biological Engineering",30756,1.21,"2019-2020","1st","$32,136",NA,NA,"$1,380","Numbers are estimates from offer letter. Additional grants were offered on top of the provided amount (~$8000 for first year)","chemistry"
"7739","Boston University (BU)","Neuroscience",34000,1.19,"2019-2020","1st","$34,000",NA,NA,NA,NA,"neuroscience"
"7740","University of Nebraska - Lincoln (NU)","English",18300,0.94,"2018-2019","1st",NA,"$17,000","$3,300","$2,000",NA,"english"
"7741","Stanford University (SU)","mechanical engineering",43000,1.5,"2018-2019","2nd","$44,000",NA,NA,"$1,000",NA,"mechanical engineering"
"7742","University of Chicago (UC)","Molecular Engineering",30000,1.24,"2018-2019","1st","$30,000",NA,NA,NA,NA,"biology"
"7743","University of California - San Francisco (UCSF)","Tetrad",40000,1.34,"2019-2020","1st","$40,000",NA,NA,NA,"Health insurance and all additional fees are covered by the program","tetrad"
"7744","University of New Mexico (UNM)","Electrical and Computer Engineering Department",23000,1.09,"2018-2019","3rd","$23,000",NA,NA,NA,"I am actually paid 50% through both semesters and 100% for summer and winter break. This amount is quite enough to live comfortably in albuquerque, at least for my life style it was.","electrical engineering"
"7745","Emory University","Biology",30000,1.29,"2018-2019","1st","$31,000",NA,NA,"$1,000",NA,"biology"
"7746","University of California - Santa Barbara (UCSB)","Linguistics",34000,1.29,"2018-2019","6th and up","$34,000",NA,NA,NA,"I have an NSF GRFP for this year, which is why my stipend is so high. Typical 9-month stipends in my department are in the low-to-mid $20,000s range.","linguistics"
"7747","Drexel University (DU)","School of education",20000,0.83,"2018-2019","2nd",NA,"$20,000",NA,NA,"Healthcare and tuition covered.","education"
"7748","University of Tennessee - Knoxville","Ecology and Evolutionary Biology",21238,1,"2018-2019","5th","$23,388",NA,NA,"$2,150","Fees vary by how many credit are taken and roughly come down to $100-$120/credit hour. The amount above reflects 19 credit hours.","biology"
"7749","Stony Brook University - SUNY","Biochemistry and Structural Biology",28800,1.03,"2018-2019","4th","$29,500",NA,NA,"$700",NA,"biology"
"7750","Stanford University (SU)","Business School",34000,1.18,"2018-2019","4th","$35,000",NA,NA,"$1,000","This number doesn't include the $5000 healthcare subsidy that I get (that then goes back to the university to pay for healthcare/super basic dental)","business"
"7751","Duke University (DU)","History PhD",27850,1.25,"2019-2020","1st",NA,"$23,850","$5,500","$1,500","All fees are covered by department/grad school.","history"
"7752","Louisiana State University - Baton Rouge","Music Theory",15000,0.69,"2018-2019","4th",NA,"$18,000",NA,"$3,000","This is fellowship funding for winning a campus wide award.","music"
"7753","Johns Hopkins University (JHU)","Epidemiology",24000,0.93,"2018-2019","3rd","$24,000",NA,NA,NA,"Stipend for T32 training grants and F31 fellowships.","epidemiology"
"7754","University of Florida (UF)","Microbiology",38000,1.67,"2018-2019","1st","$40,000",NA,NA,"$2,000","I'm on a good fellowship, so I get extra funding. Most are at 27,000","biology"
"7755","University of Wyoming (UW)","Program in Ecology",16785,0.81,"2018-2019","3rd",NA,"$16,785",NA,NA,"Fees covered by tuition waiver. Summary salary generally depends on PI (but usually follows semester rate). Health insurance ~$2000/year (generally covered by GAship).","ecology"
"7756","Stanford University (SU)","Chemistry",40500,1.41,"2018-2019","1st","$41,500",NA,NA,"$1,000",NA,"chemistry"
"7757","University of California - San Diego (UCSD)","Literature",20000,0.76,"2018-2019","5th",NA,"$20,000",NA,NA,NA,"literature"
"7758","Stanford University (SU)","Neurosciences",42000,1.46,"2018-2019","2nd","$43,000",NA,NA,"$1,000",NA,"neuroscience"
"7759","University of Wisconsin - Madison (UW)","Chemistry",25600,1.12,"2018-2019","1st",NA,"$27,000",NA,"$1,400",NA,"chemistry"
"7760","University of Pennsylvania","Cell and Molecular Biology",34000,1.41,"2019-2020","1st","$34,000",NA,NA,NA,NA,"biology"
"7761","University of Notre Dame (ND)","Computer Science & Engineering",31128,1.52,"2019-2020","1st","$31,128",NA,NA,NA,"university fellowship increased stipend to $32500","computer science"
"7762","University of Michigan - Ann Arbor (UM)","Program in Biomedical Sciences",31632,1.37,"2018-2019","2nd","$31,632",NA,NA,NA,NA,"biomed"
"7763","Yale University (YU)","Genetics",39000,1.58,"2018-2019","4th","$39,000",NA,NA,NA,NA,"genetics and genomics"
"7764",NA,"French",20000,NA,"2019-2020","1st","$20,000",NA,NA,NA,NA,"language"
"7765","University of Virginia (UVA)","French",20000,0.88,"2019-2020","1st","$20,000",NA,NA,NA,NA,"language"
"7766","University of Virginia (UVA)","French",20000,0.88,"2019-2020","1st","$20,000",NA,NA,NA,NA,"language"
"7767","University of Virginia (UVA)","French",24000,1.05,"2019-2020","1st","$24,000",NA,NA,NA,NA,"language"
"7768","University of Virginia (UVA)","French",24000,1.05,"2019-2020","1st","$24,000",NA,NA,NA,NA,"language"
"7769","Georgia Institute of Technology (Georgia Tech)","Electrical Engineering",25200,1.08,"2019-2020","1st","$25,200",NA,NA,NA,NA,"electrical engineering"
"7770","University of Texas - El Paso (UTEP)","Geology",18500,-0.88,"2019-2020","1st",NA,"$19,500",NA,"$38,000",NA,"geoscience"
"7771","University of South Florida (UCF)","Integrative biology",21200,0.97,"2018-2019","5th","$22,000",NA,NA,"$800",NA,"biology"
"7772","University of Wisconsin - Madison (UW)","Microbiology",27400,1.2,"2019-2020","1st","$28,000",NA,NA,"$600",NA,"biology"
"7773","University of Wisconsin - Madison (UW)","Plant Pathology",23300,1.02,"2018-2019","5th","$24,500",NA,NA,"$1,200","I currently have a fellowship that pays my fees for me but our set feeds are $600 a semester","algruiculture"
"7774","University of Arizona (U of A)","Plant Sciences",24986,1.21,"2019-2020","2nd","$26,306",NA,NA,"$1,320","18,000 comes from external scholarship- No RA, only TA'ing half time.","algruiculture"
"7775","New York University (NYU)","Anthropology",28000,0.94,"2019-2020","1st",NA,"$28,000",NA,NA,NA,"anthropology"
"7776","University of North Carolina - Chapel Hill (UNC)","English",16000,0.72,"2019-2020","1st",NA,"$16,000",NA,NA,NA,"english"
"7777","Vanderbilt University","Pathology, Microbiology, and Immunology",27640,1.2,"2017-2018","6th and up","$28,140",NA,NA,"$500",NA,"biology"
"7778","University of California - San Diego (UCSD)","Chemistry and biochemistry",30000,1.13,"2018-2019","1st","$30,000",NA,NA,NA,NA,"chemistry"
"7779","University of California - Los Angeles (UCLA)","Anthropology",21200,0.82,"2018-2019",NA,NA,"$22,000",NA,"$800",NA,"anthropology"
"7780",NA,"Anthropology",25500,NA,"2018-2019","1st",NA,"$22,500","$3,000",NA,"Pay $700/year for public transport pass","anthropology"
"7781","Boston University (BU)","Anthropology",25500,0.89,"2018-2019","1st",NA,"$22,500","$3,000",NA,NA,"anthropology"
"7782","University of Massachusetts - Amherst (UMass)","Plant biology",24645,1.07,"2018-2019","2nd","$26,239",NA,NA,"$1,594",NA,"biology"
"7783","Princeton University","Sociology",33380,1.31,"2018-2019","3rd","$33,977",NA,NA,"$597","$9,456.67 of stipend falls under taxable (and mandatory) AI wages. $19,121.32 was issued as unreported Academic year stipend, and the remaining $5,400 given as a summer stipend. Crucially, Princeton varies the level of summer support according to department. Technically we are required to report external fellowships, whose amount then gets deducted from our stipend. The idea, presumably, is to limit variation across grad students within the university, though in implementation this honor system may or may not work.","sociology"
"7784","University of Illinois - Urbana- Champaign (UIUC)","Chemistry",28125,1.28,"2018-2019","1st","$29,000",NA,NA,"$875",NA,"chemistry"
"7785","University of California - Davis (UCD)","Plant Biology Graduate Group",30000,1.25,"2018-2019","1st","$30,000",NA,NA,NA,"Health insurance covered fully","biology"
"7786","University of South Carolina (USC)","Epidemiology/PhD",17000,0.75,"2018-2019","2nd",NA,"$12,000","$5,000",NA,NA,"epidemiology"
"7787","Ohio University (OU)","Higher Education and Student Affairs",13500,0.64,"2018-2019","1st",NA,"$13,500",NA,NA,NA,"education"
"7788","University of Iowa (UI)","Microbiology",30000,1.35,"2018-2019","1st","$30,000",NA,NA,NA,NA,"biology"
"7789","Lehigh University","Education",15000,0.67,"2018-2019","3rd",NA,"$15,000",NA,NA,"Student health insurance is not included and costs about $1100 per year ($2000 up front with a $450ish taxes subsidy at the end of each semester)","education"
"7790","Ohio University (OU)","Communication",13000,0.62,"2018-2019","2nd",NA,"$15,000",NA,"$2,000",NA,"communication"
"7791","Ohio University (OU)","English",15000,0.71,"2018-2019","3rd",NA,"$14,000","$3,000","$2,000",NA,"english"
"7792","Pennsylvania State University (Penn State)","Plant Pathology and Environmental Microbiology",26120,1.16,"2018-2019","1st",NA,"$19,620","$6,500",NA,NA,"biology"
"7793","Indiana University","Geography",13550,0.63,"2018-2019","1st",NA,"$15,750",NA,"$2,200","The fee amount mentioned here is for international students","geoscience"
"7794","Indiana University","Geography",32300,1.5,"2018-2019","1st",NA,"$31,500","$3,000","$2,200",NA,"geoscience"
"7795","Ohio University (OU)","Mathematics",16800,0.8,"2018-2019","5th",NA,"$18,000",NA,"$1,200",NA,"mathematics"
"7796","University of California - San Diego (UCSD)","Bioinformatics and systems biology",30000,1.13,"2017-2018","4th","$30,000",NA,NA,NA,NA,"biology"
"7797","University of California - San Diego (UCSD)","Bioinformatics and systems biology",32500,1.23,"2018-2019","4th","$32,500",NA,NA,NA,NA,"biology"
"7798","Ohio University (OU)","Higher Education",13500,0.64,"2018-2019","1st",NA,"$13,500",NA,NA,NA,"education"
"7799","Ohio University (OU)","Media Arts and Studies",13500,0.64,"2019-2020","1st",NA,"$15,000",NA,"$1,500",NA,"film and media"
"7800","Arizona State University (ASU)","Spanish",16000,0.72,"2019-2020","4th","$16,000",NA,NA,NA,NA,"language"
"7801","University of Miami (UM)","Communication",27600,1.16,"2018-2019","4th",NA,"$28,000",NA,"$400",NA,"communication"
"7802","George Mason University (GMU)","School for Conflict Analysis and Resolution",14108,0.47,"2018-2019","1st",NA,"$14,108",NA,NA,NA,"school for conflict analysis and resolution"
"7803","University of California - San Francisco (UCSF)","TETRAD",40000,1.34,"2019-2020","1st","$40,000",NA,NA,NA,"Gym/Medical/Mental/Dental","tetrad"
"7804","Ohio University (OU)","HESA",12000,0.57,"2019-2020","1st",NA,"$13,000",NA,"$1,000",NA,"hesa"
"7805","Ohio University (OU)","Higher Education & Student Affairs",13700,0.65,"2018-2019","1st",NA,"$15,500",NA,"$1,800",NA,"education"
"7806","Johns Hopkins University (JHU)","Cell and Molecular Medicine",32950,1.28,"2018-2019","1st","$32,950",NA,NA,NA,NA,"biology"
"7807","Duke University (DU)","Cognitive Neuroscience Admitting Program",36250,1.63,"2018-2019","1st","$36,250",NA,NA,NA,"$5,000 of the total is from the additional James B. Duke fellowship from the graduate school","neuroscience"
"7808","University of Utah","Molecular Biology Ph.D.",28560,1.28,"2019-2020","1st","$28,560",NA,NA,NA,NA,"biology"
"7809","Arizona State University (ASU)","Microbiology Ph.D.",28013,1.26,"2019-2020","1st",NA,"$22,913","$5,450","$350","Of the $5450, $1500 is a fellowship to help cover moving costs. The other $3950 is support for my first summer with no TA or RA responsibilities. I also receive health insurance and tuition.","biology"
"7810","New York University (NYU)","Sociology",32800,1.1,"2018-2019","1st","$34,000",NA,NA,"$1,200",NA,"sociology"
"7811","University of Arizona (U of A)","School of Sociology",30800,1.49,"2018-2019","1st","$32,000",NA,NA,"$1,200","This is a one year fellowship, the department stipend is much lower - about $16,000 for 9 months.","sociology"
"7812","Princeton University","Mathematics",30000,1.18,"2017-2018","1st",NA,"$30,000",NA,NA,NA,"mathematics"
"7813","Stanford University (SU)","Genetics",39700,1.38,"2018-2019","1st","$40,500",NA,NA,"$800",NA,"genetics and genomics"
"7814","University of Michigan - Ann Arbor (UM)","Chemical Biology",32576,1.41,"2019-2020","1st","$32,576",NA,NA,NA,NA,"biology"
"7815","University of California - Davis (UCD)","Chemistry",27400,1.14,"2016-2017","1st","$28,000",NA,NA,"$600",NA,"chemistry"
"7816","Baylor College of Medicine","Biochemistry and Molecular Biology",33390,1.53,"2018-2019","2nd","$33,500",NA,NA,"$110",NA,"biology"
"7817","Syracuse University","Political Science",22850,1.07,"2018-2019","3rd",NA,"$19,850","$3,000",NA,NA,"political science"
"7818","Syracuse University","Political Science",19850,0.93,"2018-2019","4th",NA,"$19,850",NA,NA,NA,"political science"
"7819","University of British Columbia","Land and Food Systems",13613,NA,"2018-2019","1st","$13,613",NA,NA,NA,"$18200 stipend in Canadian dollars. reported number was converted to USD","nutrition"
